REBAL DAYS,SPLIT,tracking error,average turnover,1%,4%,OU ratio,rebalance cost
30,"(5, 15)",2.11,0.33,29.41,10.29,2.53,0.66
30,"(10, 10)",2.06,0.35,29.41,13.24,2.35,0.67
30,"(15, 5)",1.81,0.35,36.76,2.94,1.91,0.68
30,"(5, 20)",1.87,0.29,27.94,5.88,2.53,0.76
30,"(10, 15)",1.78,0.31,26.47,4.41,2.94,0.78
30,"(15, 10)",1.57,0.3,36.76,2.94,2.72,0.77
30,"(5, 25)",1.78,0.23,45.59,8.82,2.53,0.83
30,"(10, 20)",1.63,0.25,35.29,5.88,3.47,0.85
30,"(15, 15)",1.61,0.26,35.29,4.41,3.19,0.86
30,"(25, 5)",1.63,0.23,45.59,1.47,1.79,0.83
60,"(5, 15)",3.8,0.42,20.59,35.29,2,0.73
60,"(10, 10)",2.92,0.43,17.65,23.53,3.71,0.74
60,"(15, 5)",2.58,0.44,29.41,14.71,2.3,0.74
60,"(5, 20)",2.73,0.33,29.41,23.53,3.71,0.79
60,"(10, 15)",2.74,0.36,14.71,20.59,3.71,0.82
60,"(15, 10)",2.47,0.36,20.59,17.65,3.71,0.82
60,"(5, 25)",2.8,0.26,20.59,26.47,3.71,0.87
60,"(10, 20)",2.39,0.27,26.47,11.76,7.25,0.87
60,"(15, 15)",2.48,0.3,26.47,20.59,3.71,0.9
60,"(25, 5)",2.32,0.28,17.65,20.59,5.6,0.88
91,"(5, 15)",4.38,0.4,10,50,4.25,0.72
91,"(10, 10)",4.06,0.44,18.18,40.91,3.2,0.75
91,"(15, 5)",4.36,0.43,27.27,45.45,2.5,0.75
91,"(5, 20)",3.63,0.33,9.09,50,4.25,0.8
91,"(10, 15)",3.6,0.39,22.73,54.55,6,0.85
91,"(15, 10)",4.28,0.38,9.09,45.45,4.25,0.85
91,"(5, 25)",4.25,0.27,9.09,40.91,4.25,0.88
91,"(10, 20)",3.22,0.29,13.64,50,9.5,0.89
91,"(15, 15)",3.08,0.31,22.73,36.36,4.25,0.91
91,"(25, 5)",4.23,0.28,9.09,40.91,3.2,0.88
182,"(5, 15)",11.35,0.5,9.09,63.64,10,0.8
182,"(10, 10)",6.57,0.53,9.09,72.73,10,0.83
182,"(15, 5)",5.84,0.53,9.09,54.55,9,0.82
182,"(5, 20)",9.53,0.4,9.09,72.73,9,0.87
182,"(10, 15)",8.65,0.44,9.09,63.64,10,0.9
182,"(15, 10)",5.55,0.4,9.09,81.82,10,0.88
182,"(5, 25)",9.32,0.33,9.09,63.64,10,0.95
182,"(10, 20)",7.32,0.32,9.09,63.64,10,0.94
182,"(15, 15)",6.41,0.33,9.09,63.64,10,0.95
182,"(25, 5)",5.97,0.31,18.18,54.55,9,0.93
365,"(5, 15)",11.86,0.55,9.09,80,4,0.83
365,"(10, 10)",11.01,0.42,9.09,80,4,0.76
365,"(15, 5)",5.75,0.45,9.09,80,4,0.77
365,"(5, 20)",7.15,0.45,9.09,80,4,0.9
365,"(10, 15)",9.98,0.4,9.09,80,4,0.87
365,"(15, 10)",8.47,0.41,9.09,80,4,0.88
365,"(5, 25)",7.96,0.32,9.09,80,4,0.94
365,"(10, 20)",7.05,0.33,9.09,80,4,0.95
365,"(15, 15)",8.14,0.34,9.09,80,4,0.96
365,"(25, 5)",6.78,0.35,9.09,80,4,0.96
