REBAL DAYS,SPLIT,tracking error,average turnover,1%,4%,OU ratio,rebalance cost
30,"(5, 15)",4.47,0.32,27.94,33.82,1.03,0.66
30,"(10, 10)",3.34,0.36,22.06,27.94,0.91,0.68
30,"(15, 5)",3.2,0.36,23.53,19.12,0.76,0.68
30,"(5, 20)",3.44,0.28,26.47,20.59,1.03,0.75
30,"(10, 15)",2.46,0.31,25,13.24,0.81,0.77
30,"(15, 10)",2.87,0.3,25,13.24,1.03,0.77
30,"(5, 25)",2.95,0.23,26.47,16.18,0.97,0.83
30,"(10, 20)",2.91,0.24,36.76,17.65,0.97,0.84
30,"(15, 15)",2.55,0.26,29.41,14.71,0.97,0.86
30,"(25, 5)",2.64,0.22,32.35,17.65,1.31,0.82
60,"(5, 15)",5.39,0.4,17.65,47.06,0.94,0.72
60,"(10, 10)",4.16,0.43,17.65,26.47,0.94,0.74
60,"(15, 5)",3.86,0.44,14.71,20.59,1.36,0.74
60,"(5, 20)",3.34,0.32,23.53,23.53,1.36,0.79
60,"(10, 15)",4.23,0.36,5.88,20.59,1.06,0.82
60,"(15, 10)",3.39,0.37,32.35,20.59,1.2,0.83
60,"(5, 25)",2.98,0.26,17.65,17.65,1.54,0.87
60,"(10, 20)",3.04,0.29,14.71,11.76,0.83,0.89
60,"(15, 15)",2.99,0.29,23.53,14.71,0.94,0.89
60,"(25, 5)",2.55,0.28,23.53,14.71,1.54,0.88
91,"(5, 15)",3.92,0.42,22.73,31.82,1.33,0.74
91,"(10, 10)",3.63,0.48,27.27,36.36,4.25,0.78
91,"(15, 5)",3.53,0.44,18.18,27.27,1.33,0.75
91,"(5, 20)",3.76,0.34,18.18,27.27,1.1,0.81
91,"(10, 15)",3.65,0.38,22.73,27.27,0.91,0.84
91,"(15, 10)",3.29,0.37,18.18,22.73,1.62,0.83
91,"(5, 25)",4.8,0.28,27.27,45.45,1.33,0.88
91,"(10, 20)",3.66,0.28,18.18,36.36,2,0.89
91,"(15, 15)",2.51,0.29,22.73,18.18,2.5,0.9
91,"(25, 5)",3.06,0.29,31.82,27.27,1.62,0.9
182,"(5, 15)",10.89,0.49,9.09,72.73,2.33,0.8
182,"(10, 10)",3.56,0.49,18.18,36.36,9,0.8
182,"(15, 5)",7.74,0.48,9.09,63.64,2.33,0.78
182,"(5, 20)",8.33,0.42,9.09,54.55,4,0.88
182,"(10, 15)",8.69,0.44,9.09,54.55,4,0.9
182,"(15, 10)",3.77,0.42,18.18,27.27,1.5,0.89
182,"(5, 25)",6.95,0.33,10,63.64,2.33,0.94
182,"(10, 20)",7.64,0.33,9.09,54.55,1,0.94
182,"(15, 15)",7.06,0.32,18.18,36.36,1.5,0.93
182,"(25, 5)",2.41,0.32,18.18,36.36,4,0.92
365,"(5, 15)",7.92,0.55,10,40,3,0.83
365,"(10, 10)",6.57,0.46,20,20,4,0.77
365,"(15, 5)",7.7,0.48,20,60,1,0.78
365,"(5, 20)",8.07,0.39,10,40,3,0.86
365,"(10, 15)",1.81,0.46,20,10,3,0.9
365,"(15, 10)",1.93,0.39,20,10,1,0.85
365,"(5, 25)",8.37,0.31,40,20,1,0.93
365,"(10, 20)",5.92,0.37,10,40,3,0.97
365,"(15, 15)",1.61,0.35,40,10,0.33,0.95
365,"(25, 5)",2.77,0.32,20,40,4,0.94
